review_11,review_12,review_13
"Makanannya luar biasa, benar-benar nikmat. Harganya masuk akal, dan stafnya sangat ramah 🤗",Makanan disini semua enak. Makanan dan minumannya semua punya rasa sendiri yang unik. Kokinya pinter masaknya. Chicken wings nya (nagoya tebasaki) enak. Karaage dan gyudon nya juga,"Cafe suasana Jepang di Kelapa Gading. saya sudah   beberapa kali ke Kohicha. Lokasinya ada di ruko Gading Kirana, dekat gerbang indomaret kembar 😅.Kali ini saya makan ber3. kita pesan :- Chicken nanban gohan (70k) : nanbannya enak banget, ayamnya besar di guyur mayo dan lemon, asem segerin dan ayamnyq uda dibumbui jadi merasuk. disajikan dengan nasi porsi pas dan sayur serta jamur. worth banget.- Chicken katsu curry (70k) : porsinya besar banget, katsu nya tebal banget dagingnya, dijamin bakal puas banget dan sangat mengenyangkan. currynya bold dan  tasty.- Caesar salad (55k): sayurnya seger banget, dilengkapi topping potongan ayam besar banget, dan telur 1. ini siih worth banget rasanya nya juga seger dan cukup mengenyangkan untuk makanan sehat seperti inj.- Yuzu Lemon es teh (38k) : asem seger ala minuman so menyegarkan- Kiku Mint (38k):  teh unik dengan hint minty , teh nya tidak   pahit tapi mint nya berasa banget aromanya. Pesen hot bisa refill air panas 2x . tapi saya tidak refill, ku rasa cukup hehe.Kohicha selalu ada promo dan program kumpulin stamp untuk dapet voucher. seruu y"
"Buka dari pagi, menu komplit sarapan sampai makan siang dan malamnya. Menunya modelan ala Singapura dan Melayu.Saya memesan menu :- Kopi O => secangkir kopi hitam pekat tanpa tambahan gula susu dan lainnya. Lumayan wangi kopinya n pahitnya bisa dinikmati.- Soft Boiled Eggs => tersaji satu porsi isi 2pcs. Bisa request setengah matang, 3/4 matang atau full matang. Saya minta 3/4 matang. Telurnya ga amis ya, suka kuningnya tidak creamy, cucok untuk sarapan pagi.- Kaya Toast => roti tawar di toast isian kaya dan tengahnya di kasi butter tidak tebal. Seporsi 4pc. Garing, kayanya terasa, butter bagian tengahnya juga wangi bukan yang mentega banget. Suka ini direkomendasikan!!- Kwetiaw Goreng Seafood => penuh topping mulai dari udang, cumi, basonikan. Daun bawang juga lengkap. Tebal n panjang2 pula potongannya. Kwetiawnya ini bisa request level pedasnya. Pedasnya ini ternyata dari potongan rawit. Karena saya request sedikit pedas jadi sedikit potongan rawit di kwetiawnya. Untuk rasanya oke, wangi smokey, gurih, tidak manis. Kecapnya menurut saya tidak kebanyakan. Saya lebih suka yang sedikit aja kecpa manisnya. Modelan kwetiawnya juga pendek2 gitu jadi pas diambil pake sumpit ya tidak susah wkwk. Lebih nikmat dimakan dengan sendok.- Es Cincau => rasa beda dari yang laen. Gulanya bukan gula pasir jadi manisnya beda dari biasanya. Autentik. Manis, seger, bikin happy makan es cincau ini.. Tiap seruput pasti dapet cincaunya. Full cincau banget!!.- Cendol Gula Melaka => Penutup dengan manis yang se cendol ini. Selain cendol isiannya juga ada kacang merah yang montok ukurannya. Kuahnya selain manis juga santannya terasa, gulanya pun lagi2 bukan gula pasir. Terasa lagi di malay makan ini wkwk.Tempatnya ga terlalu luas tapi nyaman. Wifi nya pun oke. Teraedia juga lantai duanya bisa untuk area merokok. Untuk lanyai duanya semi luar ruangan ya.","[Breakast Nikmat khas Sigapore di Pecenogan 🍛]Hang Tuah -- Sebuah kafe dengan konsep kopitiam ala Sigapore yang ada di Pecenogan. saya  udah sering coba di cabang Kelapa Gading. Sekarang, saya  mutusin buat coba di cabang mereka yang ada di Pecenogan.Di sini, saya  mencoba : Nasi Kari Ayam, Pink Yakult, sama Cendol Gula Melaka.Rasanya gimana?1). Nasi Kari Ayam: Dagingnya tidak  terlalu banyak. Bumbunya light. Berasa gurih dan santannya tapi, masih pas dan tidak  terlalu pekat. enak, kok ini.2). Pink Yakult: Dominan ke asam dengan sedikit manis yang pekat.3). Cendol Gula Melaka: Rasanya milky dan memakai gula aren yang berasa banget.Tempatnya kecil tapi, tetap karena y dan nyaman. Di setiap meja ada colokan. Open kitchen.Pelayanan ramah dan friendly.","kwetiaw seafoodrasanya gurih, smokey flavor. isian nya komplit ada bakso iman, telur, udang, cumi , acar, timun dan tomat. tekstur kwetiaw nya lembut, tipis. tapi sayang porsinya sedikitkaya toastrasanya enak, mentega dicampur selai srikaya, perpaduan manis dan asin gurih. tapi sayang masa roti ny lembek (soggy) padahal nyangka roti nya renyahpink yakultminuman warna pink yang cantik, rasanya manis seger dingin. enak sih, tapi buat saya tidak   kemanisan outlet di pecenogan baru reopening, jadi payment belum bisa pakai devit atau qris, cuma bisa tunai saja, pelayanan nya tidak   cepet, cuma cendol malaka, sold out, karena dari pagi uda habis."
"Toko tuku pertama kali di cipete ini, ternyata sekarang sudah makin bedar tempatnya. Walau sekarang cabangnya sudah banyak, tapi tuku cipete masih selalu ramaiBaru-baru ini Tuku ngeluarin menu baru yaitu slushy. Ada 2 slushy yang kopi susu tetatidak , dan earl grey. Aku coba datang sakit tapi licinnya ttidak l sisa yang earl grey. Aku beli yang slushy earl grey harganya 20rb. Aku lebih suka yang biasa sih, ga terlalu suka dibuat slushy begini, rasa earl grey nya jadi tidak keluar, kurang manis juga. Oia untuk beli menu yang biasa dan slushy antriannya beda ya, yang slushy belinya di pintu yang kanan. Kalau menu yang biasa di pintu lama yang kiri.","Rasanya beda sama yang biasa saya minum, tapi mungkin lagi kurang hoki saja...","Akhirny mencoba  yang slushy juga, dan ini baru ada di cipete aja, semoga soon bakal ada di cabang2 lainnya juga y, sebenernya ini sama aja sih kopinya kaya yang biasa cuma bedanya ini di blend sama es nya gitu loh kaya slushy, tetep aja enak kok, boleh nih kalo ke cipete sekali2 mencoba  tuku yang slushy, cuma 20k harganya"
"*Review untuk pesan antar (via gojek) atau dibawa pulang  Kopi keenam yang menjadi sasaran 'berburu kopi' adalah kopi susu bu lurah, yes karena ini area jaksel jadi ini dibeli oleh rekanku yang tadi beli dibawahtatidak  juga, sekalian lewat. Da karena bingung mau pesen apa, jadi stay to their original one!  KOPI SUSU BU LURAH (19K) - mencoba  kopi lain yang kata netizen lumayan hits daerah setiabudi, sedotan pertama jujur kok gaenak tapi lama2 diminum jadi enak banget. Dia lebih kuat sih kopinya kalo dibdan ingin kayak kopipayu or animo gitu. Jadi kalo lagi teler dan hectic jadi perlu caffeine lebih banyak, aku saranin pesen ini. Tapi again kalo bukan pecinta kopi jagan coba karena super kuat haha.. Anw untuk ukuran daerah jaksel, murah sih kopinya :)","Sabtu sore maen kesini khusus buat nyoba es kopi susu paling enak se-Indonesia. Tempatnya menjadi satu dgn Warung MJS, yang manakamu bisa makan dgn menu warung dan minum kopi susu mereka. Menuruntuk u, kopi susu ini enak dgn komposisi kopi yang cukup (tidak  kuat), manisnya juga pas, harganya 19K. Bisa request less sugar, less ice. Tiap beli minuman, free kacang sukro yang bisa refill.IG: mrindramulia","Es kopi susu bu lurah salah satu yang saya  suka di jakarta. Rasanya creamy, tidak  terlalu kuat, tapi rasa kopinya masih ada: Pas! Udah gitu dapet kacang buat cemilannya, suka banget klo makan di tempat karena minumnya di cangkir"
"Aku butuh kopi pagiku. Cuzz ke Kopi Selamat Pagi. Posisi depan pasar medan iri. Saya memesan cappucino panas. Kalau menurut selera pribadiku, rasa kopinya (based espresso) kurang bold ya. Saya lebih suka bold.Untuk suasana nyaman dan bersih.Ada snack cookies dan merchand ise juga.","Tempatnya enak, cukup nyantai, pet-friendly, awalnya datang karena rekomendasi saudara untuk ngopi. Kopi nya cukup oke, ada banyak pilihan makanan berat, tapi karena sudah makan belum coba untuk hari ini. Ice chocolate nya enak, dinikmati bersama dengan singkong goreng terasi. Singkongnya enak sekali, lembut dan renyah dengan sambal terasi yang pedas.","Baru pertama kali coba ke kopi selamat pagi, ternyata enak banget fnb nya!! Meski tempatnya tidak begitu luas tapi super karena y. Terdiri dari 2 lantai ada di dalam dan luar ruangan.Aku coba beberapa menunya, yaitu:FoodsSingkong Goreng Sambel Terasi ⭐️ [4/5]Size singkongnya lumayan besar, lembut dalamnya dan luarnya garing, gurih rasanya serta sambelnya nambanget banget pedasnya.Roti Bakar Kacang ⭐️ [4/5]Manisnya pas, dimix bareng selai kacang makin enak rasanya.Bakmi Ayam Kampung ⭐️ [4,5/5]Mie halal enak di coffee shop, topping ayamnya lembut, juicy, enak banget deh. Mienya homemade beda banget rasanya dari mie lain, kuah kaldunya gurih banget, sambelnya juga pedas. MUST TRY!!Bakso Goreng ⭐️ [4/5]Bakso goreng tipe yang garing luarnya, chewy dalamnya. Sizenya super jumbo, dipping saucenya pedas bangetl.Nona Ria ⭐️ [4/5]Perpaduan teh rosela dengan cream diatasnya, diblend makin nikmat. Rasanya light dan asam(sedikit) segar.Es Kopi Selamat Pagi ⭐️ [4/5]Kopinya cukup terasa, seimbang rasanya tidak begitu milky dan creamy.keseluruhan semuanya enak, semoga bisa ada cabang di jakarta selatan hehe"
"Tempat ini bisa dibilang tidak  tersembunyi karena letaknya yang tidak  terlalu ke dalam, sangat nyaman, dan sejuk. Banyak tanaman hijau yang menyegarkan mata, dan tempat ini juga ramah hewan peliharaan. Waktu terbaik untuk berkunjung adalah sore hingga malam karena udaranya yang semakin sejuk. Saya mencoba dua minuman dan satu dessert: souffle pancake yang lezat dengan rasa telur yang kuat, disajikan dengan es krim vanila yang enak, namun sirup maplenya terlalu manis; strawberry sunset, mirip teh stroberi yang enak dan menyegarkan dengan potongan buah stroberinya; serta brown latte shakerato yang nikmat dengan rasa kopi yang cukup kuat.","Suasana di tempat ini sangat cocok untuk nongkrong sore-sore, adem banget, dan bisa melihat ikan koi. Pas banget buat kerja di kafe: internet kencang, banyak colokan, dan sound area kafe tidak  mengganggu. Pet friendly juga. Pelayanannya luar biasa, staffnya sangat membantu dan informatif. Butter Shrimp Pasta dengan tambahan cabai enak banget, bukan tipe pasta yang creamy, udangnya manis dan segar, ditambah perasan jeruk lemon, 5/5 deh! Lemon Chamomile teh kurang suka karena bunga chamomilenya terlalu kuat. Lasagna enak, creamy, dan kejunya banyak, 5/5! Sepertinya satu perusahaan dengan Brown Fox, dan FYI mereka tutup jam 20:00, last order jam 19:30.","Tempat ini sangat direkomendasikan buat kalian yang mau bekerja di kafe! Tempatnya luas dengan banyak spot bagus dan colokan yang banyak banget! Sound di sini juga tidak terlalu berisik, jadi aman buat kerja. Makanannya enak dan worth it banget.

Kemarin pesan chicken honey mustard dengan harga sekitar Rp68.000, tapi rasanya enak banget, wings-nya banyak, ditambah salad yang super enak, saya kasih rating ⭐️⭐️⭐️⭐️. Menu kedua, karena jatuh cinta dengan saladnya, jadi pesan pizza cheese dan salad. Makan bertiga kenyang banget, saladnya enak banget sampai mau nangis. Tomato sauce dan cheese dicampur dengan salad toppingnya ini nyatu banget, saya kasih rating ⭐️⭐️⭐️⭐️⭐️ dengan harga Rp109.000. Untuk harga keseluruhan worth it banget karena kualitas bahannya premium.

✅ Ruang solatnya bersih ✅ Toiletnya bersih dan wangi ✅ Pet friendly, bisa bawa hewan peliharaan karena halaman luas ✅ Banyak spot bagus

"
"jenis makanan yang disediakan disini banyak banget dari indonesian, western, korea. worth it banget karena rasa makanan nya juga enak enak semua. tempat ini cocok buat makan bareng sama keluarga, suasana nya juga fancy dan berkelas. pelayanan nya ramah dan sigap. yang aku mencoba  ada korean bbq nya enak dagingnya lembut terus kimchinya enak seger. terus ada beef wellington nya dagingnya tebal tapi tidak  alot, dimsum ny enak, sushinya jugaa enak dan sashiminya fresh banget. untuk desert, aku paling suka creeme brule dan mango panacotta ny lembut dan tidak  terlalu manis. untuk kualitas makanan disini premium banget jadi rasanya udah pasti enak.","Kebetulan hari ini lagi ada acara kumpul bareng teman-teman sekalian halal bihalal kecilan aja di hotel grdan  mahakam blok m. Untuk lokasinya tidak  jauh dari blok m plaza cukup berjalan kaki. Le Gran Cafe ini ada di lantai mezzanine, lantai 2 dari lobby. Konsep Le Gran Cafe sendiri lebih ke restaurant buffet yang menyediakan makanan khas nusantara sampai western dan all u can eat juga. Pilihan menunya pas aku kesini banyak banget mulai dari appetizer sampai dessert. Aku mencoba,1. Beef Wellington (9.5/10)Untuk pastrynya renyah enak gurih dan dagingnya juga empuk, di makan belum pakai saus pun udah enak. Terus aku coba pakai mushroom sauce dan black pepper sauce. Untuk mushroom saucenya oke ada jamurnya juga rasanya gurih, tapi kurang creamy buatku, kalau black pepper sauce udah oke rasa gurih dan hitamnya terasa tapi tidak  over. 2. Sushi (9.5/10)keseluruhan untuk rasanya enak, salmon dan tunanya juga terasa fresh saat di makan. 3. Aglio Olio (9/10)Teksur pastanya besar gitu dengan tingkat kematagan yang pas. Isianya ada smoked beef dan paprika. keseluruhan, untuk rasanya aku suka gurih dan pedas aglio olionya dapat tapi hanya karena ada taburan keju yang terlalu banyak di atas jadi after tastenya lebih ke gurih dari kejunya aja. 4.Nasi Campur Bali (9/10)1 porsi ada nasi putih,urap sayur,gepuk serundeng,sate daging sapi 3 pcs,sambal matah dan sambal embe. Untuk urap sayurnya fresh terus rasanya gurih dan pedas, enak. Daging gepuknya empuk rasanya gurih manis sedikit. Sate daging sapinya empuk,bumbunya meresap ke dalam tapi untuk rasanya lebih terlalu manis menuruntuk u. Sambal matah dan sambal embenya enak, gurih,aromanya wangi dan pedasnya pas. 5. Oxtail Soup (9.5/10)keseluruhan aku suka sop buntutnya kaldu banget tapi rasa rempahnya pas tidak  over. Daging buntutnya empuk banget, di makan dengan sambal hijaunya makin terasa enak. 6. Aneka Dessert (9.5/10)Aku coba pudding caramel,coklat kue dan matcha kue. Untuk rasa puddingnya enak creamy,manisnya juga pas banget, rasa caramelnya terasa. Coklat kuenya enak manisnya pas, terus ada rasa dark dari coklatnya juga. Matcha kuenya enak, tipe rasa matcha yang tidak  terlalu manis,ada rasa pahitnya sedikit terus di tegahnya ada coklatnya juga yang rasanya lebih dark coklat enak, aku suka.","Pas masuk pertama kali langsung takjub sama suasana nya, mewah banget dan nyaman banget. Untuk pilih  han makanannya juga beragam banget. Sebenernya mereka tuh basic nya makanan indonesia tapi ada juga makanan luar kaya sushi, beef bbq, dll.Aku mencoba  beef bbq nya, jadi sistemnya diambilin gitu sama pelayannya. enak banget saya suka! terus saya juga mencoba  pasta nya fettucini aglio olio, kematagan pastanya aldente, enak dan fresh karena made by order gituTerus saya juga mencoba  sashimi dan sushi nya, sashiminya fresh banget dan seger✨Ada juga nasi bali yang enak banget! saya juga coba dessert nya, enak enak semua, worth to try pokonya!!"
"🍴 Ini adalah pegalaman pertama kali buatku mencoba hidagan Turki, tapi memang karena sebelumnya habis makan besar, jadi ke sini cuma ingin nikmatin cemilan-cemilan sama kopi aja. Dan di sini banyak banget pilihan-nya!🪴 suasana tempatnya nyaman-nya gila sih. Sagat besar, 2 lantai. Dan ada spot-spot yang emang buat foto, menurut mas-nya spot terbaik adalah di tatidak  (sayang aku ga foto). Dan deket pintu masuk, di sebelah kiri ada tempat duduk yang super duper nyaman! (kayak yang ada di foto). Aura-aura Turki-nya berasa deh.🍰 CHEESE KUNAFE (100k)- Hidagan dessert khas Timur Tegah yang wuenak banget!- Ini itu filo pasrty yang diisi sama keju mozarella melting, terus disiram sirup manis, dikasih taburan pistachio- Percaya deh, rasanya enak banget parah, aku langsung naksir sama makanan ini- Bisa pesen yg size gede juga buat 3-4 orang, kalo small ini buat 1-2 orang☕ OTTOMAN SAND COFFEE WITH MILK (52k)- Traditional Ottoman blend yang isinya kopi, coklat, hazelnut, creamer, cardamom, mastik, sahlab, dan beberapa rempah lain- Size-nya kecil- Nanti disediain air putih juga buat netralin rasa kayaknya- Menuruntuk u cocok buat yang suka coba-coba rasa baru, karena di lidahku ini sih bener-bener a new kind of taste, kayak semacam kuat bitter chocolate, dengan kopi tebal, kentel,  dan a bit rasa milk- Kentel banget sih🍶 ICED KARAK TEA (37k)- Nah yang ini enak! Pake banget!- Creamy milk teh dikasih spice (kapulaga, cengkeh, cinamon, safron, dan rempah lain)- Hasilnya ya kayak milk teh tapi ada rasa spicy rempah yang mayan kuat, tergantung kalau misal dikasih gula jadi lebih manis, tapi kalau lebih suka rempahnya kuat, gulanya dikit aja","Makan lagi di restoran nuansa arab karena adik datang dengan temannya yang keturunan arab juga  jadi supaya ada perbdan igan. Tempatnya bagus sekali dan cukup luas, ada area ourdoor untuk shisha. Ada area smoking dan private room diatas. Bawa supir karena takut ramai ternyata tidak terlalu. Saya suka Borek jadi pesan yang mix tapi memang penyajiannya sudah ready jadi ttidak l dipanaskan dan dipotong, untuk rasa cukup enak. Makanan lainnya pide dan gozleme nya enak. Pesan chicken magluba dan ternyata enak sekali baik nasi, kentang dan juga ayamnya. Minuman kopi dan teh nya enak. Ditutup dengan tentunya baklava yang saya kurang selera karena memang manis sekali. Pertama kalinya saya makan Kunafe (walaupun sering lihat di TV) dan ternyata enak sekali dan tidak terlalu manis seperti bayagan saya. Secara keseluruhan makanan disini enak semua, tapi memang porsinya tidak besar jadi harganya tidak bisa dibilang murah.","Hi Guys!Kali ini saya coba yang beda nih di Mardin, saya coba Beef Kavurma Pide, Beef Stroganof, dan Mardin Special Spiced Rice.Semua makanannya enak, apalagi Beef Kavurma Pidenya, cocok untuk sharing, keju dan daging banyak. Tasty dan recommend!"
"Nyaman banget tempatnya buat kerja karena wifi nya kenceng sama ada stopkontak di setiap meja. Kopinya kuat, walaupun udah di rekomenin yang menurut barista nya paling creamy. Bakso goreng udang dan ayam nya cukup enak, panas2, sambelnya pedes.","Biasanya kalo ke PIK sekalian jogging, namun ga semua tempat makan dan resto sudah buka di pagi hari. Papowi ini bisa jadi alternatif sih. Tempatnya adem lumayan luas karena ada 3 lantai. Interiornya bergaya simple kayu-kayuan gitu. Untuk makanan kami memesan :1. Nasi jeruk ayam crispy sambal matah (50k)Nasinya wangi, untuk ayamnya tipe yang juicy gitu. Ada telur mata sapinya juga. Sambal matahnya oke tapi bukan yang enak banget.2. Bakmi ayam akong (40k)Tipe bakmi yang kecil-kecil, isiannya sayur, jamur, pangsit goreng, kuahnya light. Untuk tipe bakmi kayak gini aku suka sih. 3. Kopi susu akong (30k)Seperti kopi susu pada umumnya. Tipe kopi susu yang creamy gitu.keseluruhan tempatnya enak banget, harga masih okelah untuk ukuran pik, tapi mungkin rasa makanannya perlu lebih ditingkatkan.","Suka banget sama makanan/minuman yang punya packaging bagus atau minimal niat gitu designnya, termasuk si kopi Papowi ini, biarpun simpel tapi punya karakter sendiri dan gemesin hihi.Saya mencoba  Kopi Susu Akong (30,000) Es kopi susu jadul yang rasanya cukup oke, kopinya cukup kuat tapi manisnya seimbang, untuk saya yang bukan anak kopi serius ini kurang creamy."
"Setelah pulang kerja, saya makan di sini dan parkir di depan minimarket karena area parkir restoran sudah penuh. Saya duduk di dalam ruangan dekat kasir dan pintu masuk, di sofa yang nyaman dengan banyak colokan, cocok untuk bekerja di cafe yang ramah. Saya memesan dan membayar langsung di kasir, makanan akan diantar setelah itu. Saya memesan Spaghetti Carbonara dan Teh Lychee Lemon Grass Es (1 Liter). Toilet tersedia, bersih, dengan dua bilik unisex. Saat sedang mengobrol menunggu makanan, listrik padam cukup lama, hanya di Toodz, membuat suasana menjadi panas meskipun staff membuka pintu. Makanan teman saya yang datang lebih dulu menjadi tidak terlihat. Tidak ada lilin yang diberikan, lampu darurat hanya ada di area kasir. Makanan saya datang terlambat, baru tiba ketika listrik sudah menyala kembali, mungkin kompornya menggunakan listrik? Spaghetti Carbonara-nya lebih banyak spaghetti daripada potongan dagingnya yang sangat sedikit, rasanya creamy dan gurih, tapi Carbonara Rice With Breaded Chicken teman saya lebih enak, dengan nasi yang gurih dan creamy, serta porsi ayam yang banyak. Teh Lychee Lemon Grass Esnya diberi dua buah lychee di setiap gelas (saya minta dibagi menjadi tiga gelas) dan di jar juga terdapat lychee, rasanya manis, segar, dan lemon yang kuat. Carrot Cake datang sangat terlambat, lebih dari 20 menit meskipun disajikan dingin. Pelayanannya cukup ramah dan sopan, namun penyajian beberapa menu sangat lama dan rencana kontinuitas bisnis tidak berjalan saat terjadi keadaan darurat.","Suasana di sini sangat nyaman dan cocok untuk bekerja di kafe. Pelayanannya sangat memuaskan, dan yang paling penting, makanannya enak dan harganya terjangkau. Tempat ini sangat direkomendasikan bagi mereka yang mencari tempat kerja yang nyaman dengan kualitas makanan yang baik.","Semua makanan yang saya pesan sangat enak, tetapi porsinya terlalu kecil. Suasananya sangat menyenangkan—tidak panas, bahkan cenderung dingin, dan sofa-sofanya nyaman untuk duduk berlama-lama. Tempat ini cocok untuk sarapan karena sudah buka sejak pagi. Saya pasti akan kembali lagi!"
