title,rate,cuisine,location,address,street,price_from,price_till,url,description,opening_hours,wifi_available,smoking_area_available,outdoor_seat_available,full_time_available,vip_room_available,reservation_available,parking_area_available,review_11,review_12,review_13
Kohicha Cafe,4.36,['Kafe'],Kelapa Gading,"Ruko Gading Kirana, Blok A6A No. 21","Jl. Boulevard Artha Gading, Kelapa Gading, Jakarta Utara",Rp. 50.000,Rp. 100.000,https://pergikuliner.com/restaurants/jakarta/kohicha-cafe-kelapa-gading,,Senin - Minggu (08:00 - 22:00),True,True,True,False,False,True,True,"Food is excellent, absolutely delicious. The prices were reasonable, and staff is so friendly 🤗",Makanan disini semua enak. Makanan & minumannya semua punya rasa sendiri yg unik. Kokinya pinter masaknya. Chicken wings nya (nagoya tebasaki) enak. Karaage & gyudon nya juga,"Cafe vibes Jepang di Kelapa Gading. Aku surah beberapa kali ke Kohicha. Lokasinya ada di ruko Gading Kirana, dekat gerbang indomaret kembar 😅.Kali ini aku makan ber3. kita pesan :- Chicken nanban gohan (70k) : nanbannya enak bgt, ayamnya gede di guyur mayo dan lemon, asem segerin dan ayamnyq uda dibumbui jadi merasuk. disajikan dengan nasi porsi pas dan sayur serta jamur. worth bgt.- Chicken katsu curry (70k) : porsinya gede bgt, katsu nya tebel bgt dagingnya, dijamin bakal puas bgt dan sangat mengenyangkan. currynya bold and tasty.- Caesar salad (55k): sayurnya seger bgt, dilengkapi topping potongan ayam gede bgt, dan telur 1. ini siih worth bgt rasanya nya jg seger dan cukup mengenyangkan untuk makanan sehat seperti inj.- Yuzu Lemon ice tea (38k) : asem seger ala minuman so refreshing- Kiku Mint (38k):  teh unik dengan hint minty , teh nya agak pahit tp mint nya berasa bgt aromanya. Pesen hot bisa refill air panas 2x . tapi aku ga refill, ku rasa cukup hehe.Kohicha selalu ada promo dan program kumpulin stamp untuk dapet voucher. seruu yaa"
Hang Tuah Kopi & Toastery,4.53,['Kafe'],Pecenongan,,"Jl. Pecenongan No. 37, Pecenongan, Jakarta Pusat",Rp. 50.000,Rp. 100.000,https://pergikuliner.com/restaurants/jakarta/hang-tuah-kopi-dan-toastery-pecenongan,,Senin - Minggu (07:00 - 22:00),True,True,True,False,False,True,True,"Buka dari pagi, komplir menu sarapan sampe makan siang n malamnya. Menunya modelan singapure n malay style.Saya order menu :- Kopi O => secangkir kopi hitam pekat tanpa tambahan gula susu dan lainnya. Lumayan wangi kopinya n pahitnya bisa dinikmati.- Soft Boiled Eggs => tersaji satu porsi isi 2pcs. Bisa request setengah matang, 3/4 matang atau full matang. Saya request 3/4 matang. Telurnya ga amis ya, suka kuningnya agak creamy, cucok untuk sarapan pagi.- Kaya Toast => roti tawar di toast isian kaya dan tengahnya di kasi butter agak tebal. Seporsi 4pc. Garing, kayanya terasa, butter tengahnya juga wangi bukan yg mentega banget. Suka ini recommended!!- Kwetiaw Goreng Seafood => full of topping mulai dari udang, cumi, basonikan. Full daun bawang juga. Tebal n panjang2 pula potongannya. Kwetiawnya ini bisa request level pedasnya. Pedasnya ini ternyata dari potongan rawit. Karena saya request sedikit pedas jadi sedikit potongan rawit di kwetiawnya. Untuk rasanya ok, wangi smokey, gurih, agak manis. Kecapnya menurut saya agak kebanyakan. Saya lebih suka yg sedikit aja kecpa manisnya. Modelan kwetiawnya juga pendek2 gitu jadi pas diambil pake sumpit ya rada susah wkwk. Lebih nikmat dimakan dengan sendok.- Es Cincau => taste beda dari yg laen. Gulanya bukan gula pasir jadi manisnya beda dari biasanya. Authentic. Manis, seger, bikin happy makan es cincau ini.. Tiap seruput pasti dapet cincaunya. Full cincau banget!!.- Cendol Gula Melaka => penutup dengan yg manis se cendol ini. Selain cendol isiannya jg ada kacang merah yg montok ukurannya. Kuahnya selain manis juga santannya terasa, gulanya pun lagi2 bukan gula pasir. Terasa lagi di malay makan ini wkwk.Tempatnya ini ga terlalu luas tapi nyaman. Wifi nya pun oke. Teraedia juga lantai duanya bisa untuk area merokok. Untuk lanyai duanya semi outdoor ya.","[Breakast Nikmat khas Singapore di Pecenongan 🍛]Hang Tuah -- Sebuah kafe dengan konsep kopitiam ala Singapore yang ada di Pecenongan. Gue udah sering coba di cabang Kelapa Gading. Sekarang, gue mutusin buat coba di cabang mereka yang ada di Pecenongan.Di sini, gue cobain: Nasi Kari Ayam, Pink Yakult, sama Cendol Gula Melaka.Rasanya gimana?1). Nasi Kari Ayam: Dagingnya gak terlalu banyak. Bumbunya light. Berasa gurih dan santannya tapi, masih pas dan gak terlalu pekat. Enak, kok ini.2). Pink Yakult: Dominan ke asam dengan sedikit manis yang pekat.3). Cendol Gula Melaka: Rasanya milky dan memakai gula aren yang berasa banget.Tempatnya kecil tapi, tetap cozy dan nyaman. Di setiap meja ada colokan. Open kitchen.Pelayanan ramah dan friendly.","kwetiaw seafoodrasanya gurih, smokey flavor. isian nya komplit ada bakso iman, telur, udang, cumi , acar, timun & tomat. tekstur kwetiaw nya lembut, tipis. tapi sayang porsinya sedikitkaya toastrasanya enak, mentega dicampur selai srikaya, perpaduan manis dan asin gurih. tapi sayang masa roti ny lembek (soggy) padahal expect roti nya crunchypink yakultminuman warna pink yang cantik, rasanya manis seger dingin. enak sih, tapi buat aku agak kemanisan outlet di pecenongan baru reopening, jadi payment belum bisa pakai devit atau qris, cuma bisa tunai saja, pelayanan nya agak cepet, cuma cendol malaka, sold out, karena dari pagi uda habis."
Toko Kopi Tuku,4.0,['Kafe'],Fatmawati,,"Jl. Cipete Raya No. 7 (Sebelah Alfamart), Fatmawati, Jakarta Selatan",Rp. 0,Rp. 50.000,https://pergikuliner.com/restaurants/jakarta/toko-kopi-tuku-fatmawati,,Senin - Minggu (07:00 - 21:00),True,True,True,False,False,False,False,"Toko tuku pertama kali di cipete ini, ternyata sekarang udah makin bedar tempatnya. Walau sekarang cabangnya sudah banyak, tapi tuku cipete masih selalu ramaiBaru-baru ini Tuku ngeluarin menu baru yaitu slushy. Ada 2 slushy yang kopi susu tetangga, dan earl grey. Aku coba datang sore tapi slushynya tinggal sisa yang earl grey. Aku beli yang slushy earl grey harganya 20rb. Aku lebih suka yang biasa sih, ga terlalu suka dibuat slushy begini, rasa earl grey nya jadi gak keluar, kurang manis juga. Oia untuk beli menu yang biasa dan slushy antriannya beda ya, yang slushy belinya di pintu yang kanan. Kalau menu yang biasa di pintu lama yang kiri.","Rasanya beda sama yang biasa saya minum, tapi mungkin lagi kurang hoki saja...","Akhirnyaa cobain yang slushy juga, dan ini baru ada di cipete aja, semoga soon bakal ada di cabang2 lainnya juga yaa, sebenernya ini sama aja sih kopinya kaya yang biasa cuma bedanya ini di blend sama ice nya gitu loh kaya slushy, tetep aja enak kok, boleh nih kalo ke cipete sekali2 cobain tuku yang slushy, cuma 20k harganya"
Kopi Susu Bu Lurah,3.93,['Kafe'],Setiabudi,Warung MJS,"Jl. Setiabudi Tengah No. 11, Setiabudi, Jakarta Selatan",Rp. 0,Rp. 50.000,https://pergikuliner.com/restaurants/jakarta/kopi-susu-bu-lurah-setiabudi,,Senin - Minggu (10:00 - 23:00),True,True,True,False,True,True,True,"*Review untuk pesan antar (via gojek) atau takeaway  Kopi keenam yang menjadi sasaran 'berburu kopi' adalah kopi susu bu lurah, yes karena ini area jaksel jadi ini dibeli oleh rekanku yang tadi beli dibawahtangga juga, sekalian lewat. Da karena bingung mau pesen apa, jadi stay to their original one!  KOPI SUSU BU LURAH (19K) - cobain kopi lain yang kata netizen lumayan hits daerah setiabudi, sedotan pertama jujur kok gaenak tapi lama2 diminum jadi enak banget. Dia lebih strong sih kopinya kalo dibandingin kayak kopipayu or animo gitu. Jadi kalo lagi teler dan hectic jadi perlu caffeine lebih banyak, aku saranin pesen ini. Tapi again kalo bukan pecinta kopi jangan coba karena super strong haha.. Anw untuk ukuran daerah jaksel, murah sih kopinya :)","Sabtu sore maen kesini khusus buat nyoba es kopi susu paling enak se-Indonesia. Tempatnya menjadi satu dgn Warung MJS, which is kamu bisa makan dgn menu warung dan minum kopi susu mereka. Menurutku, kopi susu ini enak dgn komposisi kopi yg cukup (gak strong), manisnya juga pas, harganya 19K. Bisa request less sugar, less ice. Tiap beli minuman, free kacang sukro yg bisa refill.IG: mrindramulia","Es kopi susu bu lurah salah satu yang gue suka di jakarta. Rasanya creamy, ngga terlalu strong, tapi rasa kopinya masih ada: Pas! Udah gitu dapet kacang buat cemilannya, suka banget klo dine in karena minumnya di cangkir"
Kopi Selamat Pagi,4.34,['Kafe'],Kelapa Gading,,"Jl. Summagung III No. 17, Kelapa Gading, Jakarta Utara",Rp. 50.000,Rp. 100.000,https://pergikuliner.com/restaurants/jakarta/kopi-selamat-pagi-kelapa-gading,,Senin - Minggu (09:00 - 21:00),True,True,True,False,False,True,True,"I need my morning coffee. Cuzz ke Kopi Selamat Pagi. Posisi depan pasar mandiri.I ordered hot cappuccino. In my personal taste, taste coffee nya (based espresso) kurang bold ya. I prefer bold.Untuk suasana nyaman dan bersih.Ada snacks cookies dan merchandise juga.","Tempatnya enak, cukup nyantai, pet-friendly, awalnya datang karena rekomendasi saudara untuk ngopi. Kopi nya cukup oke, ada banyak pilihan makanan berat, tapi karena sudah makan belum coba untuk hari ini. Ice chocolate nya enak, dinikmati bersama dengan singkong goreng terasi. Singkongnya enak sekali, lembut dan renyah dengan sambal terasi yang pedas.","Baru pertama kali coba ke kopi selamat pagi, ternyata enak banget fnb nya!! Meski tempatnya gak begitu luas tapi super cozy. Terdiri dari 2 lantai ada indoor dan outdoor.Aku coba beberapa menunya, yaitu:FoodsSingkong Goreng Sambel Terasi ⭐️ [4/5]Size singkongnya lumayan besar, lembut dalamnya dan luarnya garing, gurih rasanya serta sambelnya nampol banget pedasnya.Roti Bakar Kacang ⭐️ [4/5]Manisnya pas, dimix bareng selai kacang makin enak rasanya.Bakmi Ayam Kampung ⭐️ [4,5/5]Mie halal enak di coffee shop, topping ayamnya lembut, juicy, enak banget deh. Mienya homemade beda banget rasanya dari mie lain, kuah kaldunya gurih banget, sambelnya juga pedas. MUST TRY!!Bakso Goreng ⭐️ [4/5]Bakso goreng tipe yang garing luarnya, chewy dalamnya. Sizenya super jumbo, dipping saucenya pedas poll.Nona Ria ⭐️ [4/5]Perpaduan teh rosela dengan cream diatasnya, diblend makin nikmat. Rasanya light dan asam(sedikit) segar.Es Kopi Selamat Pagi ⭐️ [4/5]Kopinya cukup terasa, balance rasanya gak begitu milky dan creamy.overall semuanya enak, semoga bisa ada cabang di jaksel hehe"
Bruno Cafe In The Park,4.42,['Kafe'],Pasar Minggu,,"Jl. Taman Margasatwa No. 9G (Jl. Griya Tapa), Pasar Minggu, Jakarta Selatan",Rp. 100.000,Rp. 200.000,https://pergikuliner.com/restaurants/jakarta/bruno-cafe-in-the-park-pasar-minggu,,"Senin - Jumat (10:00 - 20:00), Sabtu - Minggu (09:00 - 20:00)",True,True,True,False,False,True,True,"Tempatnya bisa dibilang agak hidden, karena masuk agak ke dalem gitu, tempatnya enak, nyaman, dan adem banget. Banyak ijo-ijo, bikin mata seger, pet friendly juga ini tempatnya, enaknya kesini tuh sore ke malem sih karena udah adem banget, aku cobain 2 minuman sama 1 dessert- souffle pancakeenaak, rasa telurnya strong banget, dimix sama ice cream vanilla nya enak cuman maple syrupnya bikin jadi kemanisan banget- strawberry sunsetini tuh kaya teh stroberi, enak & seger, ada potongan buah stroberinya- brown latte shakeratoenak, kopinya lumayan strong","The ambience is great 🙌🏻 cocok buat nongkrong sore-sore dan tempat ini tuh ademmm banget, bisa lihat ikan koi juga. Cocok buat WFC: speed internet kenceng, colokan banyak, sound di area cafe pun gak ganggu. 🫶🏻pet friendly🫶🏻The service is above & beyond 🙌🏻 staffnya helpful banget & informatifButter Shrimp Pasta additional Chilli nya enak banget, bukan tipe pasta yg creamy, udangnya manis & masih seger, trus ditambah perasan jeruk lemon 🫶🏻 5/5 dehLemon Chamomile Tea personally kurang suka karena bunga chamomile nya terlalu strong.Lasgana nya juga enakkk, creamy dan cheesenya banyakkk 5/5Ini satu perusahaan deh sama Brown Fox sepertinya dan FYI mereka tutup jam 20:00 last ordernya jam 19:30 yaa!",Plis ini recommended bgt buat kaluan yg mau WFC!! Tempatnya luas banyak spot bagus dan colokan banyak bgt loh! Soundnya juga ga twrlalu berisik jd aman kalo wfc disiniMakanan jug enak dan worth itKemarin pesan chicken honey mustard harganya sekitar 68.000 tapi rasanya enak bgtt wingsnya juga banyak ditambah salad jugaa dan SUPER ENAK WOI aku kasih rate ⭐️⭐️⭐️⭐️Menu ke dua garagara jatuh cinta salad nya jdi pesen pizza cheese and salad. Kemarin makan bertiga dan kenyang bg. Lagi lagi saladnya enak bgt mau nangis deh 😭😭. Tomato sauce dan cheese di campur salad toppingnyaa ini nyatu bg. Rate nya ⭐️⭐️⭐️⭐️⭐️harganya 109.000Untuk harga overall worth it bgt krn kualitas bahannya juga premium guys cobain deh✅Disini ruang solatnya bersih ✅toiletnya bersih dan wangi✅pet friendly bisa bawa hewan peliharaan karena halaman luas juga✅banyak spot bagusGass lahhhh cobain
Le Gran Cafe - Hotel Gran Mahakam,4.24,['Indonesia'],Blok M,"Hotel Gran Mahakam, Lantai Mezzanine","Jl. Mahakam I No. 8, Blok M, Kebayoran Baru, Jakarta Selatan",Rp. 200.000,,https://pergikuliner.com/restaurants/jakarta/le-gran-cafe-hotel-gran-mahakam-blok-m,,"Senin - Jumat (06:00 - 23:00), Sabtu - Minggu (06:00 - 24:00)",True,True,False,False,True,True,True,"jenis makanan yang disediakan disini banyak banget dari indonesian, western, korea. worth it banget karena rasa makanan nya juga enak enak semua. tempat ini cocok buat makan bareng sama keluarga, ambience nya juga fancy dan classy. pelayanan nya ramah dan sigap. yang aku cobain ada korean bbq nya enak dagingnya lembut trs kimchinya enak seger. terus ada beef wellington nya dagingnya tebal tapi gak alot, dimsum nyaa enak, sushinya jugaa enak dan sashiminya fresh bgt. untuk desert, aku paling suka creeme brule dan mango panacotta nyaa lembut dan gak terlalu manis. untuk kualitas makanan disini premium banget jadi rasanya udah pasti enak.","Kebetulan hari ini lagi ada acara kumpul bareng teman-teman sekalian halal bihalal kecilan aja di hotel grand mahakam blok m. Untuk lokasinya gak jauh dari blok m plaza cukup berjalan kaki. Le Gran Cafe ini ada di lantai mezzanine, lantai 2 dari lobby. Konsep Le Gran Cafe sendiri lebih ke restaurant buffet yang menyediakan makanan khas nusantara sampai western dan all u can eat juga. Pilihan menunya pas aku kesini banyak banget mulai dari appetizer sampai dessert. Aku mencoba,1. Beef Wellington (9.5/10)Untuk pastrynya crunchy enak gurih dan dagingnya juga empuk, di makan belum pakai saus pun udah enak. Terus aku coba pakai mushroom sauce dan black pepper sauce. Untuk mushroom saucenya oke ada jamurnya juga rasanya gurih, tapi kurang creamy buatku, kalau black pepper sauce udah oke rasa gurih dan hitamnya terasa tapi gak over. 2. Sushi (9.5/10)Overall untuk rasanya enak, salmon dan tunanya juga terasa fresh saat di makan. 3. Aglio Olio (9/10)Teksur pastanya besar gitu dengan tingkat kematangan yang pas. Isianya ada smoked beef dan paprika. Overall, untuk rasanya aku suka gurih dan pedas aglio olionya dapat tapi hanya karena ada taburan keju yang terlalu banyak di atas jadi after tastenya lebih ke gurih dari kejunya aja. 4.Nasi Campur Bali (9/10)1 porsi ada nasi putih,urap sayur,gepuk serundeng,sate daging sapi 3 pcs,sambal matah dan sambal embe. Untuk urap sayurnya fresh terus rasanya gurih dan pedas, enak. Daging gepuknya empuk rasanya gurih manis sedikit. Sate daging sapinya empuk,bumbunya meresap ke dalam tapi untuk rasanya lebih terlalu manis menurutku. Sambal matah dan sambal embenya enak, gurih,aromanya wangi dan pedasnya pas. 5. Oxtail Soup (9.5/10)Overall aku suka sop buntutnya kaldu banget tapi rasa rempahnya pas gak over. Daging buntutnya empuk banget, di makan dengan sambal hijaunya makin terasa enak. 6. Aneka Dessert (9.5/10)Aku coba pudding caramel,coklat cake dan matcha cake. Untuk rasa puddingnya enak creamy,manisnya juga pas banget, rasa caramelnya terasa. Coklat cakenya enak manisnya pas, terus ada rasa dark dari coklatnya juga. Matcha cakenya enak, tipe rasa matcha yang gak terlalu manis,ada rasa pahitnya sedikit terus di tengahnya ada coklatnya juga yang rasanya lebih dark coklat enak, aku suka.","Pas masuk pertama kali langsung takjub sama ambience nya, mewah banget & cozy banget. Untuk pilihan makanannya juga beragam banget. Sebenernya mereka tuh basic nya makanan indonesia tapi ada juga makanan luar kaya sushi, beef bbq, dll.Aku cobain beef bbq nya, jadi sistemnya diambilin gitu sama pelayannya. Enak banget aku sukaa! terus aku juga cobain pasta nya fettucini aglio olio, kematangan pastanya aldente, enak dan fresh karna made by order gituTerus aku juga cobain sashimi & sushi nya, sashiminya fresh banget & seger✨Ada juga nasi bali yang enak banget! aku juga coba dessert nya, enak enak semuaaa, worth to try pokonya!!"
Mardin Fine Baklava Cafe,4.42,['Kafe'],Kemang,,"Jl. Kemang Utara No. 16B, Kemang, Jakarta Selatan",Rp. 100.000,Rp. 200.000,https://pergikuliner.com/restaurants/jakarta/mardin-fine-baklava-cafe-kemang,,"Senin - Kamis (12:00 - 22:00), Jumat (13:00 - 22:00), Sabtu - Minggu (12:00 - 22:00)",True,True,True,False,True,True,True,"🍴 Ini adalah pengalaman pertama kali buatku mencoba hidangan Turki, tapi memang karena sebelumnya habis makan besar, jadi ke sini cuma ingin nikmatin cemilan-cemilan sama kopi aja. Dan di sini banyak banget pilihan-nya!🪴 Ambience tempatnya nyaman-nya gila sih. Sangat besar, 2 lantai. Dan ada spot-spot yang emang buat foto, menurut mas-nya spot terbaik adalah di tangga (sayang aku ga foto). Dan deket pintu masuk, di sebelah kiri ada tempat duduk yang super duper nyaman! (kayak yang ada di foto). Aura-aura Turki-nya berasa deh.🍰 CHEESE KUNAFE (100k)- Hidangan dessert khas Timur Tengah yang wuenak pol!- Ini itu filo pasrty yang diisi sama keju mozarella melting, terus disiram sirup manis, dikasih taburan pistachio- Percaya deh, rasanya enak banget parah, aku langsung naksir sama makanan ini- Bisa pesen yg size gede juga buat 3-4 orang, kalo small ini buat 1-2 orang☕ OTTOMAN SAND COFFEE WITH MILK (52k)- Traditional Ottoman blend yang isinya kopi, coklat, hazelnut, creamer, cardamom, mastik, sahlab, dan beberapa rempah lain- Size-nya kecil- Nanti disediain air putih juga buat netralin rasa kayaknya- Menurutku cocok buat yang suka coba-coba rasa baru, karena di lidahku ini sih bener-bener a new kind of taste, kayak semacam strong bitter chocolate, dengan kopi tebal, kentel,  dan a bit rasa milk- Kentel pol sih🍶 ICED KARAK TEA (37k)- Nah yang ini enak! Pake banget!- Creamy milk tea dikasih spice (kapulaga, cengkeh, cinamon, safron, dan rempah lain)- Hasilnya ya kayak milk tea tp ada rasa spicy rempah yang mayan kuat, tergantung kalau misal dikasih gula jadi lebih manis, tapi kalau lebih suka rempahnya kuat, gulanya dikit aja","Makan lagi di restoran nuansa arab karena adik datang dengan temannya yang keturunan arab juga  jadi supaya ada perbandingan. Tempatnya bagus sekali dan cukup luas, ada area ourdoor untuk shisha. Ada area smoking dan private room diatas. Bawa supir karena takut ramai ternyata tidak terlalu. Saya suka Borek jadi pesan yang mix tapi memang penyajiannya sudah ready jadi tinggal dipanaskan dan dipotong, untuk rasa cukup enak. Makanan lainnya pide dan gozleme nya enak. Pesan chicken magluba dan ternyata enak sekali baik nasi, kentang dan juga ayamnya. Minuman kopi dan teh nya enak. Ditutup dengan tentunya baklava yang saya kurang selera karena memang manis sekali. Pertama kalinya saya makan Kunafe (walaupun sering lihat di TV) dan ternyata enak sekali dan tidak terlalu manis seperti bayangan saya. Secara keseluruhan makanan disini enak semua, tapi memang porsinya tidak besar jadi harganya tidak bisa dibilang murah.","Hi Guys!Kali ini aku coba yang beda nih di Mardin, aku coba Beef Kavurma Pide, Beef Stroganof, dan Mardin Special Spiced Rice.Semua makanannya enak, apalagi Beef Kavurma Pidenya, cocok untuk sharing, keju dan daging banyak. Tasty & recommend!"
Rumah Kopi Papowi,4.45,['Kafe'],Pantai Indah Kapuk,"Ruko Beach View, Blok A No. 25","Jl. Pantai Indah Kapuk, Pantai Indah Kapuk, Penjaringan, Jakarta Utara",Rp. 50.000,Rp. 100.000,https://pergikuliner.com/restaurants/jakarta/rumah-kopi-papowi-pantai-indah-kapuk,,"Senin - Kamis (10:00 - 22:00), Jumat - Minggu (08:30 - 21:00)",True,True,True,False,False,True,True,"Nyaman bgt tempatnya buat kerja karena wifi nya kenceng sama ada stopkontak di setiap meja. Kopinya strong, walaupun udah di rekomenin yang menurut barista nya paling creamy. Bakso goreng udang dan ayam nya cukup enak, panas2, sambelnya pedes.","Biasanya kalo ke PIK sekalian jogging, namun ga semua tempat makan dan resto sudah buka di pagi hari. Papowi ini bisa jadi alternatif sih. Tempatnya adem lumayan luas karena ada 3 lantai. Interiornya bergaya simple kayu-kayuan gitu. Untuk makanan kami memesan :1. Nasi jeruk ayam crispy sambal matah (50k)Nasinya wangi, untuk ayamnya tipe yang juicy gitu. Ada telur mata sapinya juga. Sambal matahnya oke tapi bukan yang enak banget.2. Bakmi ayam akong (40k)Tipe bakmi yang kecil-kecil, isiannya sayur, jamur, pangsit goreng, kuahnya light. Untuk tipe bakmi kayak gini aku suka sih. 3. Kopi susu akong (30k)Seperti kopi susu pada umumnya. Tipe kopi susu yang creamy gitu.Overall tempatnya enak banget, harga masih okelah untuk ukuran pik, tapi mungkin rasa makanannya perlu lebih ditingkatkan.","Suka banget sama makanan/minuman yang punya packaging bagus atau minimal niat gitu designnya, termasuk si kopi Papowi ini, biarpun simple tapi punya karakter sendiri dan gemesin hihi.Saya cobain Kopi Susu Akong (30,000) Es kopi susu jadul yang rasanya cukup oke, kopinya cukup strong tapi manisnya balance, untuk saya yang bukan anak kopi serius ini kurang creamy."
Toodz House,4.25,['Kafe'],Fatmawati,,"Jl. Cipete Raya No. 79, Fatmawati, Jakarta Selatan",Rp. 50.000,Rp. 100.000,https://pergikuliner.com/restaurants/jakarta/toodz-house-fatmawati,,"Senin - Kamis (08:00 - 23:00), Jumat (13:00 - 23:00), Sabtu - Minggu (08:00 - 23:00)",True,True,True,False,False,True,True,"Pulang kerja makan disini, bisa parkir di depan minimart karena depan resto penuh. Duduk indoor di dekat kasir dan pintu masuk, sofanya nyaman dan banyak colokan bisa buat WFC friendly. Pesan dan langsung bayar di kasir, makanan akan diantar setelahnya. Pesan Spaghetti Carbonara dan Iced Lychee Lemon Grass Tea (1Liter). Toilet tersedia, ada 2 bilik unisex dan bersih.Saat mengobrol sambil menunggu makanan, listrik mati cukup lama, hanya di Toodz yang mati, jadi gerah sehingga staff membuka pintu. Makanan teman saya yang sudah datang duluan jadi tidak terlihat. Tidak diberikan lilin juga, lampu emergency hanya di area kasir. Makanan saya lama datang, baru datang saat listrik kembali menyala, apa kompornya menggnakan kompor listrik (?)Spaghetti Carbonara lebih banyak spaghettinya, creamy gurih, potongan lembaran dagingnya sangat sedikit, lebih enak Carbonara Rice With Breaded Chicken teman saya, creamy gurih di nasi yang pulen, ayamnya banyak. Es lychee tea lemon grass tea dapat leci 2 di tiap gelas (minta dibagi 3 gelas) dan di jar juga ada leci, manis, segar dan sangat terasa lemonnya. Carrot Cake datang sangat lama, hingga 20menit padahal disajikan dingin juga. Pelayanan cukup ramah dan sopan tapi penyajian beberapa menu sangat lama dan business continuity plan tidak berjalan saat ada emergency case.","Suasana nya homey banget, recommended bgt untuk wfc, pelayanannya bagus & yang paling penting makanan nya enak semuaa 🤤 harga nya juga affordable !!","Semua makanan yg aku pesen enaakk bgt!!, namun porsinya kecil sekali🥺, buat ambiencenya okey bgt…ga panas sama sekali malah dingin, sofa2nya jg nyaman buat duduk lama, cocoknya buat sarapan krn dia jg udah buka dr pagi. Bakal balik lg kesini!!"
